year,iso,rgdpmad
1870,AUS,0.2918807757420776
1871,AUS,0.2760412565823893
1872,AUS,0.3353786339977729
1873,AUS,0.3840543071944662
1874,AUS,0.41698272988490626
1875,AUS,0.465295362347816
1876,AUS,0.4440632909600133
1877,AUS,0.4415382932790237
1878,AUS,0.4803108914469192
1879,AUS,0.3683120951715919
1880,AUS,0.2970872426422364
1881,AUS,0.32602084334416936
1882,AUS,0.1964649420491611
1883,AUS,0.29302032029102065
1884,AUS,0.2594024386208993
1885,AUS,0.30187435871123824
1886,AUS,0.27331623952147943
1887,AUS,0.318539219657092
1888,AUS,0.3165602414533044
1889,AUS,0.3298087497528055
1890,AUS,0.2732378725800011
1891,AUS,0.2970346316272394
1892,AUS,0.0692776040299492
1893,AUS,0.06387860411927804
1894,AUS,0.1277951876591885
1895,AUS,-0.04401945718996636
1896,AUS,0.050223551099787045
1897,AUS,-0.09730716911975712
1898,AUS,0.029092747034754396
1899,AUS,-0.053683607206991724
1900,AUS,-0.019107299603104977
1901,AUS,-0.1508716452197305
1902,AUS,-0.14535211280764493
1903,AUS,-0.11015073901837802
1904,AUS,-0.026380147411321886
1905,AUS,-0.08076788904904042
1906,AUS,-0.11942157380707741
1907,AUS,-0.09271117192375122
1908,AUS,0.028638660501087543
1909,AUS,-0.007380955458117455
1910,AUS,0.04838832820385974
1911,AUS,0.011447800906795536
1912,AUS,-0.01985112527221844
1913,AUS,-0.027525510570615808
1914,AUS,0.04632588187627995
1915,AUS,0.006640399726371982
1916,AUS,-0.1124115947474369
1917,AUS,-0.09103456269367172
1918,AUS,-0.20685121984810806
1919,AUS,-0.1861511590000422
1920,AUS,-0.1527970584609939
1921,AUS,-0.08054562357717288
1922,AUS,-0.08987110254806474
1923,AUS,-0.17163327733603317
1924,AUS,-0.1401649320143541
1925,AUS,-0.12340096756263463
1926,AUS,-0.16958517324799516
1927,AUS,-0.17082334516990727
1928,AUS,-0.18647265356620402
1929,AUS,-0.2706393899848365
1930,AUS,-0.2772704809561439
1931,AUS,-0.2679454472455127
1932,AUS,-0.07279344154417444
1933,AUS,0.013616845018198376
1934,AUS,-0.010565869313639453
1935,AUS,-0.027680627750088505
1936,AUS,-0.11755002848369855
1937,AUS,-0.11255017121822064
1938,AUS,-0.039985856911611606
1939,AUS,-0.1154227054942858
1940,AUS,-0.12821304795514443
1941,AUS,-0.18963673522426916
1942,AUS,-0.2607248755027669
1943,AUS,-0.40233780604456726
1944,AUS,-0.5159797415254008
1945,AUS,-0.5263602597834218
1946,AUS,-0.3325260474749676
1947,AUS,-0.2876965876654811
1948,AUS,-0.2631218489276499
1949,AUS,-0.21177624265631856
1950,AUS,-0.25468554718522185
1951,AUS,-0.29826096708101346
1952,AUS,-0.3297643439195408
1953,AUS,-0.34643896143677644
1954,AUS,-0.2849501419400422
1955,AUS,-0.3056119982954044
1956,AUS,-0.2971809248501245
1957,AUS,-0.29993654046816687
1958,AUS,-0.2468149537668456
1959,AUS,-0.26354029745408347
1960,AUS,-0.25360148238992863
1961,AUS,-0.2758434594222958
1962,AUS,-0.2767594241718676
1963,AUS,-0.2641998781188182
1964,AUS,-0.25993943560313504
1965,AUS,-0.2789926586604512
1966,AUS,-0.32212287582722077
1967,AUS,-0.28905787365107116
1968,AUS,-0.2875832943216121
1969,AUS,-0.27230285661400977
1970,AUS,-0.22317117540879217
1971,AUS,-0.21938675428561716
1972,AUS,-0.2510216670454959
1973,AUS,-0.25924293178763946
1974,AUS,-0.2390267387557703
1975,AUS,-0.2122318481989467
1976,AUS,-0.2247082415831585
1977,AUS,-0.25987504293263086
1978,AUS,-0.2884863402637823
1979,AUS,-0.2716673815728754
1980,AUS,-0.25389396042765355
1981,AUS,-0.25166196942159935
1982,AUS,-0.24022417523686634
1983,AUS,-0.2842485135774666
1984,AUS,-0.28964457058735427
1985,AUS,-0.2812435832614
1986,AUS,-0.2984063913662247
1987,AUS,-0.29059125159109733
1988,AUS,-0.294957550431338
1989,AUS,-0.2934837189902808
1990,AUS,-0.30085655062245564
1991,AUS,-0.3101980519133498
1992,AUS,-0.3152499382385052
1993,AUS,-0.3019914108580153
1994,AUS,-0.29257613601391697
